Source,Plx,Gmag,BPmag,RPmag
6318650611933128576,5.0001,17.297058,18.601877,15.888229
5876187341777069312,5.0001,20.652279,,
4036528947637560832,5.0001,19.109018,21.38736,17.89148
2316167599492457984,5.0001,19.807455,21.089941,18.481491
2293270952743600384,5.0001,15.903575,17.04358,14.841808
1197866997329954944,5.0001,20.710705,20.764225,20.033922
5987329584833296512,5.0001,20.670874,,
4160046537720873728,5.0001,17.887514,19.702156,16.602577
2077281896453758336,5.0001,20.809076,20.622276,19.469252
4043632578862712960,5.0001,17.454573,18.719522,16.103216
5957620746300298496,5.0001,20.741295,20.733091,19.414633
4117468808920359424,5.0001,20.535215,21.509657,19.511477
4092520786986747520,5.0001,19.369358,19.675104,18.202072
2948892522157707520,5.0001,18.107977,19.767082,16.873459
4421423811939093888,5.0002,19.532877,19.601536,19.355984
4311164309185142016,5.0002,20.830704,21.535843,19.817144
4059313886662929024,5.0002,19.470533,21.014261,18.801315
5958077108046757248,5.0002,19.107485,19.086025,17.583645
2055343405362581760,5.0002,20.364725,21.321043,18.742966
4301307153080539264,5.0002,20.4911,21.165913,19.006351
351411136079285376,5.0002,12.451231,12.876184,11.864121
6363801988210724352,5.0002,19.967922,20.301832,18.80472
5971014172314542592,5.0002,19.464426,19.613558,18.078087
5897173101685092608,5.0002,20.602777,21.51545,19.129133
1424826748722361984,5.0002,16.708857,18.095724,15.557631
6747653587798441088,5.0002,19.8029,21.086874,18.466223
6912922314443866112,5.0002,18.183928,19.370115,16.846985
3047943405835868544,5.0002,20.77664,21.453058,19.995005
4120105403429021184,5.0002,20.406067,,
6733054100606936320,5.0002,18.00332,18.260582,17.198544
1950505972381153280,5.0002,20.745579,,
5847312139150296960,5.0002,19.94975,20.002205,18.485102
5955285314906973696,5.0002,19.595913,20.050411,18.450045
5422847255783237888,5.0002,20.732038,21.32172,19.243895
4311868129750265856,5.0002,19.974543,20.970078,18.596306
4052661733988972288,5.0002,19.69198,,
4036172534095798016,5.0002,19.787874,20.169302,18.952343
4042046090889739392,5.0002,19.004534,,
4130656626237819136,5.0002,20.61125,20.948187,19.348253
4058961974162617216,5.0002,19.90029,20.77433,18.563894
257121721871611520,5.0002,19.535818,21.460545,18.206642
4051421935697874432,5.0002,19.937569,,
2986033788722643200,5.0002,16.797207,18.728518,15.489146
4148370480172769408,5.0002,20.311419,21.166906,19.393452
4118645797499604736,5.0002,19.95246,20.444778,18.62174
4827988375410916224,5.0002,17.473534,19.10764,16.245234
4322857374818625152,5.0002,20.822956,21.900253,18.942282
4573144120082156544,5.0002,15.030494,15.997956,14.054082
4121630769711186816,5.0002,19.910294,20.080667,18.385841
4118891027230180992,5.0002,20.372034,21.096766,19.256811
5834327662761011968,5.0002,19.25344,19.770473,18.028875
1870934144100998656,5.0002,20.817513,,
3111867946721928832,5.0002,16.733984,18.244978,15.544901
4079591354883069568,5.0002,18.903856,19.252914,17.8005
5864002691306368512,5.0002,20.806282,,19.979599
4123838623410114048,5.0002,20.727829,21.762033,19.796627
2028605039272491392,5.0002,20.83531,,
5931900832925292416,5.0002,19.365486,19.908913,17.759682
4325007366718527360,5.0002,19.868414,21.421762,18.415865
2171824262769453568,5.0002,17.495638,18.987413,16.314995
5834782894946309120,5.0002,19.628113,20.132217,17.682178
3316755371550030464,5.0002,19.797503,20.705711,18.626976
5409853497954179328,5.0002,19.137177,20.974977,17.869349
4039780096224646656,5.0002,19.095451,19.224537,17.657618
3312088734963576704,5.0002,20.682825,21.402355,19.730541
5889026235987536768,5.0002,20.224735,20.530945,18.283289
4119748886827516800,5.0002,20.155043,,
6130994832118676352,5.0002,20.890997,21.91327,19.731047
6721747964277481216,5.0002,20.70826,21.15463,19.923075
3709450175656485760,5.0002,18.317665,20.19976,17.042124
3151343845834924544,5.0002,20.59358,21.661196,19.110935
6276666275821786496,5.0002,20.807484,21.927141,19.476036
4657156051227553920,5.0002,20.182985,19.565153,19.333448
